caller_entry	caller_name	callee_entry	callee_name	callee_is_external
004010c9	FUN_004010c9	00402bd4	Ordinal_570	false
00401169	FUN_00401169	00402bd4	Ordinal_570	false
00401180	FUN_00401180	EXTERNAL:00000084	LoadIconA	true
00401180	FUN_00401180	00402bda	Ordinal_315	false
00401180	FUN_00401180	00402bec	Ordinal_1035	false
00401180	FUN_00401180	00402be6	Ordinal_1014	false
00401312	FUN_00401312	00402bf2	Ordinal_706	false
004022f9	FUN_004022f9	00402bd4	Ordinal_570	false
00402409	FUN_00402409	00402bd4	Ordinal_570	false
00402470	FUN_00402470	00402cdc	Ordinal_504	false
00402529	FUN_00402529	00402cd6	Ordinal_721	false
00402550	FUN_00402550	00402470	FUN_00402470	false
00402560	FUN_00402560	00402db0	FUN_00402db0	false
004025ab	FUN_004025ab	00402cd6	Ordinal_721	false
004026de	FUN_004026de	00402750	FUN_00402750	false
004026f3	FUN_004026f3	00402741	FUN_00402741	false
00402741	FUN_00402741	00402bd4	Ordinal_570	false
00402750	FUN_00402750	00402791	FUN_00402791	false
00402791	FUN_00402791	00402bd4	Ordinal_570	false
00402869	FUN_00402869	00402bd4	Ordinal_570	false
00402979	FUN_00402979	00402bd4	Ordinal_570	false
004029c0	FUN_004029c0	00402bda	Ordinal_315	false
00402a89	FUN_00402a89	00402bd4	Ordinal_570	false
00402cf0	FUN_00402cf0	00402be0	Ordinal_731	false
00402cf0	FUN_00402cf0	00402f72	~type_info	false
00402d10	FUN_00402d10	EXTERNAL:00000077	Sleep	true
00402d10	FUN_00402d10	EXTERNAL:00000078	GetVersion	true
00402d10	FUN_00402d10	EXTERNAL:0000006b	_onexit	true
00402d10	FUN_00402d10	00402f78	__dllonexit	false
00402db0	FUN_00402db0	00402d10	FUN_00402d10	false
00402dd0	entry	EXTERNAL:0000006d	__p__commode	true
00402dd0	entry	EXTERNAL:0000007a	GetStartupInfoA	true
00402dd0	entry	EXTERNAL:00000064	__setusermatherr	true
00402dd0	entry	EXTERNAL:00000065	__getmainargs	true
00402dd0	entry	EXTERNAL:00000060	__p__fmode	true
00402dd0	entry	00402fd0	_WinMain@16	false
00402dd0	entry	00402fc0	FUN_00402fc0	false
00402dd0	entry	EXTERNAL:00000079	GetModuleHandleA	true
00402dd0	entry	EXTERNAL:00000067	__p__acmdln	true
00402dd0	entry	EXTERNAL:00000061	__set_app_type	true
00402dd0	entry	00402f84	initterm	false
00402dd0	entry	EXTERNAL:00000068	exit	true
00402dd0	entry	00402f90	__setdefaultprecision	false
00402f90	__setdefaultprecision	00402fc8	_controlfp	false
00402fd0	_WinMain@16	00403038	Ordinal_1368	false
00402fe9	FUN_00402fe9	00402bec	Ordinal_1035	false
00402fe9	FUN_00402fe9	EXTERNAL:0000005f	_setmbcp	true
