entry	name	prototype	body_size	parameter_count	calling_convention	is_external	is_thunk	caller_count	callee_count
004010b0	FUN_004010b0	undefined4 * FUN_004010b0(undefined4 * param_1)	142	1	__fastcall	false	false	1	1
004011aa	FUN_004011aa	undefined FUN_004011aa(void)	8	0	__stdcall	false	false	0	1
004011c0	FUN_004011c0	int FUN_004011c0(void * this, int param_1)	52	2	__thiscall	false	false	2	0
00401390	FUN_00401390	undefined FUN_00401390(void * this, int param_1)	29	2	__thiscall	false	false	2	1
004013b0	FUN_004013b0	int FUN_004013b0(void * this, void * param_1)	202	2	__thiscall	false	false	2	2
004014a0	FUN_004014a0	undefined FUN_004014a0(undefined4 * param_1)	7	1	__fastcall	false	false	28	0
004014b0	FUN_004014b0	undefined FUN_004014b0(void * this, int param_1)	136	2	__thiscall	false	false	1	0
00401580	FUN_00401580	uint FUN_00401580(void * this, int * param_1)	200	2	__thiscall	false	false	1	5
00401680	FUN_00401680	int FUN_00401680(int param_1)	10	1	__fastcall	false	false	0	0
004016c0	FUN_004016c0	undefined FUN_004016c0(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, int param_6)	245	6	__cdecl	false	false	17	0
004017c0	FUN_004017c0	undefined * FUN_004017c0(void)	161	0	__stdcall	false	false	0	0
00401870	FUN_00401870	undefined FUN_00401870(int * param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, int param_5)	92	5	__cdecl	false	false	4	2
004018d0	FUN_004018d0	undefined FUN_004018d0(int * param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, int param_5)	92	5	__cdecl	false	false	2	2
00401930	FUN_00401930	undefined FUN_00401930(int * param_1, undefined4 param_2, undefined4 param_3, int param_4)	150	4	__cdecl	false	false	1	2
00401a00	FUN_00401a00	undefined4 FUN_00401a00(undefined4 param_1)	3	1	__fastcall	false	false	1	0
00401a10	FUN_00401a10	undefined4 * FUN_00401a10(void * this, undefined4 param_1, undefined4 param_2, undefined1 param_3, undefined1 param_4, undefined1 param_5, undefined1 param_6, undefined1 param_7, undefined1 param_8, undefined1 param_9, undefined1 param_10, undefined1 param_11, undefined1 param_12, undefined1 param_13, undefined1 param_14)	104	15	__thiscall	false	false	0	0
00401a80	FUN_00401a80	undefined FUN_00401a80(void * this, undefined4 param_1, int param_2)	89	3	__thiscall	false	false	8	0
00401ae0	FUN_00401ae0	undefined FUN_00401ae0(void * this, int * param_1)	85	2	__thiscall	false	false	1	2
