library	symbol_name	address	symbol_type
WING32.DLL	WinGCreateDC	EXTERNAL:00000001	Label
WING32.DLL	WinGCreateBitmap	EXTERNAL:00000002	Function
WING32.DLL	WinGSetDIBColorTable	EXTERNAL:00000003	Function
WING32.DLL	WinGBitBlt	EXTERNAL:00000004	Function
WING32.DLL	WinGRecommendDIBFormat	EXTERNAL:00000005	Function
DSOUND.DLL	DirectSoundCreate	EXTERNAL:00000006	Function
MFC40.DLL	Ordinal_4656	EXTERNAL:00000007	Function
MFC40.DLL	Ordinal_2086	EXTERNAL:00000008	Function
MFC40.DLL	Ordinal_4608	EXTERNAL:00000009	Function
MFC40.DLL	Ordinal_3890	EXTERNAL:0000000a	Function
MFC40.DLL	Ordinal_5647	EXTERNAL:0000000b	Function
MFC40.DLL	Ordinal_3837	EXTERNAL:0000000c	Function
MFC40.DLL	Ordinal_4704	EXTERNAL:0000000d	Function
MFC40.DLL	Ordinal_3314	EXTERNAL:0000000e	Function
MFC40.DLL	Ordinal_4296	EXTERNAL:0000000f	Function
MFC40.DLL	Ordinal_3922	EXTERNAL:00000010	Function
MFC40.DLL	Ordinal_2323	EXTERNAL:00000011	Function
MFC40.DLL	Ordinal_1785	EXTERNAL:00000012	Function
MFC40.DLL	Ordinal_5649	EXTERNAL:00000013	Function
MFC40.DLL	Ordinal_3267	EXTERNAL:00000014	Function
MFC40.DLL	Ordinal_4510	EXTERNAL:00000015	Function
MFC40.DLL	Ordinal_1493	EXTERNAL:00000016	Function
MFC40.DLL	Ordinal_2140	EXTERNAL:00000017	Function
MFC40.DLL	Ordinal_1850	EXTERNAL:00000018	Function
MFC40.DLL	Ordinal_4691	EXTERNAL:00000019	Function
MFC40.DLL	Ordinal_2617	EXTERNAL:0000001a	Function
MFC40.DLL	Ordinal_2754	EXTERNAL:0000001b	Function
MFC40.DLL	Ordinal_2843	EXTERNAL:0000001c	Function
MFC40.DLL	Ordinal_3945	EXTERNAL:0000001d	Function
MFC40.DLL	Ordinal_2744	EXTERNAL:0000001e	Function
MFC40.DLL	Ordinal_2845	EXTERNAL:0000001f	Function
MFC40.DLL	Ordinal_2620	EXTERNAL:00000020	Function
MFC40.DLL	Ordinal_2696	EXTERNAL:00000021	Function
MFC40.DLL	Ordinal_3345	EXTERNAL:00000022	Function
MFC40.DLL	Ordinal_3346	EXTERNAL:00000023	Function
MFC40.DLL	Ordinal_3340	EXTERNAL:00000024	Function
MFC40.DLL	Ordinal_2694	EXTERNAL:00000025	Function
MFC40.DLL	Ordinal_3580	EXTERNAL:00000026	Function
MFC40.DLL	Ordinal_4101	EXTERNAL:00000027	Function
MFC40.DLL	Ordinal_3913	EXTERNAL:00000028	Function
MFC40.DLL	Ordinal_719	EXTERNAL:00000029	Function
MFC40.DLL	Ordinal_503	EXTERNAL:0000002a	Function
MFC40.DLL	Ordinal_4676	EXTERNAL:0000002b	Function
MFC40.DLL	Ordinal_1090	EXTERNAL:0000002c	Function
MFC40.DLL	Ordinal_1014	EXTERNAL:0000002d	Function
MFC40.DLL	Ordinal_1035	EXTERNAL:0000002e	Function
MFC40.DLL	Ordinal_4186	EXTERNAL:0000002f	Function
MFC40.DLL	Ordinal_2310	EXTERNAL:00000030	Function
MFC40.DLL	Ordinal_2081	EXTERNAL:00000031	Function
MFC40.DLL	Ordinal_5427	EXTERNAL:00000032	Function
MFC40.DLL	Ordinal_5428	EXTERNAL:00000033	Function
MFC40.DLL	Ordinal_3273	EXTERNAL:00000034	Function
MFC40.DLL	Ordinal_5490	EXTERNAL:00000035	Function
MFC40.DLL	Ordinal_5652	EXTERNAL:00000036	Label
MFC40.DLL	Ordinal_545	EXTERNAL:00000037	Function
MFC40.DLL	Ordinal_285	EXTERNAL:00000038	Function
MFC40.DLL	Ordinal_3214	EXTERNAL:00000039	Function
MFC40.DLL	Ordinal_3158	EXTERNAL:0000003a	Function
