address	length	value
00400000	2	MZ
00400080	2	PE
00400178	5	.text
004001a0	6	.rdata
004001c8	5	.data
004001f0	6	.idata
00400218	5	.rsrc
00400240	6	.reloc
0042fc58	8	Genetics
004351b0	10	CBacterium
004351ec	7	SFCView
00435218	15	SmoothScrolling
00435228	11	MaxViewSize
0043523c	6	SFCDoc
004352e0	23	anim [1710],sndv [Spnk]
004352f8	28	anim [232323230],sndv [Tckl]
00435318	105	setv norn targ,sys: wtop,pose 77,sndv [dead.wav],wait 50,exec [Funeral Kit.exe] [new],wait 3000,kill ownr
00435384	14	pose 75,wait 8
00435394	67	loop,impt 1,pose 59,anim [61626364R],wait 20,stm# writ targ 23,ever
004353d8	67	loop,impt 1,pose 60,anim [61626364R],wait 20,stm# writ targ 23,ever
0043541c	368	loop,doif driv 6 gt 0,impt 3,pose 57,wait 25,stm# writ targ 21,impt 4,aslp 1,pose 58,wait 60,stm# writ targ 22,impt 15,pose 58,wait 255,stm# writ targ 22,impt 5,pose 58,wait 200,stm# writ targ 22,impt 4,aslp 0,pose 58,wait 25,stm# writ targ 22,else,doif driv 5 gt 0,impt 3,pose 58,wait 120,stm# writ targ 21,else,impt 1,pose 57,wait 50,stm# writ targ 21,endi,endi,ever
00435590	50	impt 3,sayn,pose 34,stm# writ targ 20,wait 40,done
004355c4	57	impt 2,aim: 0,sayn,pose 12,stm# writ targ 20,wait 20,done
00435600	35	drop,stm# writ targ 19,wait 20,done
00435624	40	appr,drop,stm# writ targ 19,wait 20,done
00435650	93	impt 3,aim: 0,appr,touc,wait 4,mesg writ _it_ 4,stm# writ targ 18,wait 4,pose 12,wait 20,done
004356b0	210	doif driv 0 le 0,doif driv 8 gt 0,impt 4,aim: 0,anim [49505152R],stm# writ targ 17,stop,endi,else,impt 4,pose 39,wait 7,doif driv 9 gt 0,anim [53545556R],wait 40,endi,pose 12,endi,stm# writ targ 17,wait 20,done
00435784	110	impt 2,aim: 0,loop,appr,stim writ targ 0 255 0 0 0 0 0 0 0 0 0 0,impt 1,pose 12,wait 30,stm# writ targ 16,ever
004357f4	93	impt 3,aim: 2,appr,touc,wait 4,mesg writ _it_ 2,stm# writ targ 15,wait 4,pose 12,wait 20,done
00435854	93	impt 3,aim: 1,appr,touc,wait 4,mesg writ _it_ 1,stm# writ targ 14,wait 4,pose 12,wait 20,done
004358b4	118	impt 3,aim: 0,appr,touc,mesg writ _it_ 4,wait 4,pose 66,mesg writ _it_ 5,wait 4,pose 12,stm# writ targ 13,wait 20,done
0043592c	138	impt 4,aim: 0,appr,touc,mesg writ _it_ 4,wait 2,reps 3,pose 73,mesg writ _it_ 0,pose 74,wait 4,repe,pose 74,stm# writ targ 13,wait 20,done
004359b8	93	impt 3,aim: 0,appr,touc,wait 4,mesg writ _it_ 0,stm# writ targ 13,wait 4,pose 12,wait 20,done
00435a18	173	impt 0,loop,rndv var0 0 1,doif var0 eq 0,pose 57,rndv var0 20 40,wait var0,else,pose 59,rndv var0 1 10,wait var0,pose 60,rndv var0 1 10,wait var0,endi,stm# writ targ 12,ever
00435ac8	57	impt 0,aim: 0,pose 12,loop,wait 50,stm# writ targ 12,ever
00435b04	94	doif from eq pntr,stm# writ targ 3,else,stm# writ targ 4,endi,doif aslp eq 0,say$ [Ouch!],endi
00435b64	93	doif from eq pntr,stm# writ targ 1,else,stm# writ targ 2,endi,doif aslp eq 0,say$ [Ooh!],endi
00435bc4	18	pose 0,sndv [Bing]
00435bd8	18	pose 1,sndv [Bing]
00435bec	6	pose 0
00435bf4	6	pose 6
00435bfc	13	anim [233320]
00435c0c	11	PALETTE.DTA
00435c18	9	World.sfc
00435c30	16	.PAVCException@@
00435c4c	12	Creature.exp
