caller_entry	caller_name	callee_entry	callee_name	callee_is_external
00401120	FUN_00401120	00401140	FUN_00401140	false
00401120	FUN_00401120	0040bddc	Ordinal_731	false
00401140	FUN_00401140	0040bddc	Ordinal_731	false
00401140	FUN_00401140	004011ae	FUN_004011ae	false
004011ae	FUN_004011ae	00401640	FUN_00401640	false
004011c0	FUN_004011c0	0040bdf4	Ordinal_2456	false
004011c0	FUN_004011c0	0040bde8	Ordinal_2403	false
004011c0	FUN_004011c0	0040bdca	Ordinal_729	false
004011c0	FUN_004011c0	0040bdee	Ordinal_5656	false
004011c0	FUN_004011c0	0040bde2	Ordinal_4817	false
004011c0	FUN_004011c0	0040bddc	Ordinal_731	false
004012c0	FUN_004012c0	004014b8	FUN_004014b8	false
004012c0	FUN_004012c0	0040be3c	Ordinal_336	false
004012c0	FUN_004012c0	0040bdca	Ordinal_729	false
004012c0	FUN_004012c0	0040be12	Ordinal_1725	false
004012c0	FUN_004012c0	0040be42	Ordinal_340	false
004012c0	FUN_004012c0	0040bddc	Ordinal_731	false
004012c0	FUN_004012c0	0040be30	Ordinal_762	false
004012c0	FUN_004012c0	004014a6	FUN_004014a6	false
004012c0	FUN_004012c0	0040be1e	Ordinal_1061	false
004012c0	FUN_004012c0	0040be2a	Ordinal_4619	false
004012c0	FUN_004012c0	0040be18	Ordinal_4819	false
004012c0	FUN_004012c0	0040be36	Ordinal_486	false
004012c0	FUN_004012c0	0040be24	Ordinal_5003	false
004014a6	FUN_004014a6	004017d0	FUN_004017d0	false
004014b8	FUN_004014b8	0040be06	Ordinal_592	false
004014f0	FUN_004014f0	004014c0	FUN_004014c0	false
004014f0	FUN_004014f0	00405340	FUN_00405340	false
00401690	FUN_00401690	004016d7	FUN_004016d7	false
004016d7	FUN_004016d7	00401640	FUN_00401640	false
0040173f	FUN_0040173f	00401640	FUN_00401640	false
004017b2	FUN_004017b2	0040be0c	Ordinal_706	false
004017c7	FUN_004017c7	00401690	FUN_00401690	false
004017d0	FUN_004017d0	0040182f	FUN_0040182f	false
004017d0	FUN_004017d0	0040181a	FUN_0040181a	false
0040181a	FUN_0040181a	0040be0c	Ordinal_706	false
0040182f	FUN_0040182f	00401690	FUN_00401690	false
00401930	FUN_00401930	00401aa0	FUN_00401aa0	false
00401930	FUN_00401930	0040bddc	Ordinal_731	false
00401950	FUN_00401950	00401991	FUN_00401991	false
00401991	FUN_00401991	00402890	Ordinal_4933	false
004019a0	FUN_004019a0	004062b0	FUN_004062b0	false
004019a0	FUN_004019a0	004066c0	FUN_004066c0	false
004019a0	FUN_004019a0	0040bf56	Ordinal_447	false
004019a0	FUN_004019a0	00401b60	FUN_00401b60	false
004019a0	FUN_004019a0	0040bf50	Ordinal_392	false
004019a0	FUN_004019a0	0040be36	Ordinal_486	false
00401aa0	FUN_00401aa0	00401b1a	FUN_00401b1a	false
00401aa0	FUN_00401aa0	00401b36	FUN_00401b36	false
00401aa0	FUN_00401aa0	00401b4e	FUN_00401b4e	false
00401aa0	FUN_00401aa0	00401b0c	FUN_00401b0c	false
00401aa0	FUN_00401aa0	00401b28	FUN_00401b28	false
00401b0c	FUN_00401b0c	0040be0c	Ordinal_706	false
00401b1a	FUN_00401b1a	004063d0	FUN_004063d0	false
00401b28	FUN_00401b28	00406750	FUN_00406750	false
00401b36	FUN_00401b36	00401950	FUN_00401950	false
00401b4e	FUN_00401b4e	0040bf4a	Ordinal_678	false
00401b60	FUN_00401b60	0040bf62	Ordinal_1014	false
00401b60	FUN_00401b60	EXTERNAL:00000107	LoadIconA	true
00401b60	FUN_00401b60	0040bf5c	Ordinal_2293	false
00401b60	FUN_00401b60	0040bf68	Ordinal_1035	false
00401bc0	FUN_00401bc0	004065d0	FUN_004065d0	false
00401bc0	FUN_00401bc0	0040bf74	Ordinal_895	false
00401bc0	FUN_00401bc0	0040bf6e	Ordinal_1835	false
00401c20	FUN_00401c20	0040bf7a	Ordinal_2081	false
00401c20	FUN_00401c20	EXTERNAL:00000105	SendMessageA	true
00401c70	FUN_00401c70	00406f40	FUN_00406f40	false
00401c70	FUN_00401c70	EXTERNAL:00000106	KillTimer	true
00401c70	FUN_00401c70	0040bf7a	Ordinal_2081	false
00401c70	FUN_00401c70	EXTERNAL:00000116	Ordinal_6	true
00401c70	FUN_00401c70	0040bf80	Ordinal_2530	false
00401c70	FUN_00401c70	0040bf5c	Ordinal_2293	false
00401c70	FUN_00401c70	00406e60	FUN_00406e60	false
00401c70	FUN_00401c70	EXTERNAL:000000fa	GetSystemMetrics	true
00401c70	FUN_00401c70	EXTERNAL:00000103	GetWindowRect	true
00401c70	FUN_00401c70	0040bf86	Ordinal_4933	false
00401d70	FUN_00401d70	EXTERNAL:00000101	wsprintfA	true
00401d70	FUN_00401d70	00402380	FUN_00402380	false
