entry	name	prototype	body_size	parameter_count	calling_convention	is_external	is_thunk	caller_count	callee_count
004010b0	FUN_004010b0	undefined4 * FUN_004010b0(undefined4 * param_1)	84	1	__fastcall	false	false	2	0
00401120	FUN_00401120	undefined4 * FUN_00401120(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
00401140	FUN_00401140	undefined FUN_00401140(undefined4 * param_1)	100	1	__fastcall	false	false	3	2
004011ae	FUN_004011ae	undefined FUN_004011ae(void)	8	0	__stdcall	false	false	1	1
004011c0	FUN_004011c0	undefined FUN_004011c0(void * this, int param_1, int param_2)	251	3	__thiscall	false	false	1	6
004012c0	FUN_004012c0	undefined4 FUN_004012c0(void * this, undefined4 param_1)	470	2	__thiscall	false	false	1	13
004014a6	FUN_004014a6	undefined FUN_004014a6(void)	8	0	__stdcall	false	false	1	1
004014b8	FUN_004014b8	undefined FUN_004014b8(void)	8	0	__stdcall	false	false	1	1
004014c0	FUN_004014c0	int FUN_004014c0(void * this, int param_1, int param_2)	43	3	__thiscall	false	false	1	0
004014f0	FUN_004014f0	undefined FUN_004014f0(void * this, void * param_1, int param_2, int * param_3, int * param_4)	297	5	__thiscall	false	false	3	2
00401640	FUN_00401640	undefined FUN_00401640(undefined4 * param_1)	7	1	__fastcall	false	false	12	0
00401690	FUN_00401690	undefined FUN_00401690(undefined4 * param_1)	61	1	__fastcall	false	false	3	1
004016d7	FUN_004016d7	undefined FUN_004016d7(void)	8	0	__stdcall	false	false	1	1
0040173f	FUN_0040173f	undefined FUN_0040173f(void)	8	0	__stdcall	false	false	0	1
004017b2	FUN_004017b2	undefined FUN_004017b2(void)	11	0	__stdcall	false	false	0	1
004017c7	FUN_004017c7	undefined FUN_004017c7(void)	8	0	__stdcall	false	false	0	1
004017d0	FUN_004017d0	undefined FUN_004017d0(undefined4 * param_1)	74	1	__fastcall	false	false	7	2
0040181a	FUN_0040181a	undefined FUN_0040181a(void)	11	0	__stdcall	false	false	1	1
0040182f	FUN_0040182f	undefined FUN_0040182f(void)	8	0	__stdcall	false	false	1	1
00401930	FUN_00401930	undefined4 * FUN_00401930(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
00401950	FUN_00401950	undefined FUN_00401950(void)	55	0	__stdcall	false	false	1	1
00401991	FUN_00401991	undefined FUN_00401991(void)	8	0	__stdcall	false	false	1	1
004019a0	FUN_004019a0	undefined4 * FUN_004019a0(void * this, undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)	166	5	__thiscall	false	false	1	6
00401aa0	FUN_00401aa0	undefined FUN_00401aa0(undefined4 * param_1)	108	1	__fastcall	false	false	2	5
00401b0c	FUN_00401b0c	undefined FUN_00401b0c(void)	14	0	__stdcall	false	false	1	1
00401b1a	FUN_00401b1a	undefined FUN_00401b1a(void)	14	0	__stdcall	false	false	1	1
00401b28	FUN_00401b28	undefined FUN_00401b28(void)	14	0	__stdcall	false	false	1	1
00401b36	FUN_00401b36	undefined FUN_00401b36(void)	14	0	__stdcall	false	false	1	1
00401b4e	FUN_00401b4e	undefined FUN_00401b4e(void)	8	0	__stdcall	false	false	1	1
00401b60	FUN_00401b60	undefined FUN_00401b60(void * this, undefined4 param_1)	94	2	__thiscall	false	false	2	4
00401bc0	FUN_00401bc0	undefined4 FUN_00401bc0(void * this, undefined4 param_1)	82	2	__thiscall	false	false	1	3
00401c20	FUN_00401c20	undefined4 FUN_00401c20(int param_1)	70	1	__fastcall	false	false	0	2
00401c70	FUN_00401c70	undefined FUN_00401c70(int * param_1)	248	1	__fastcall	false	false	1	10
00401d70	FUN_00401d70	undefined FUN_00401d70(int * param_1)	120	1	__fastcall	false	false	0	4
00401df0	FUN_00401df0	undefined4 FUN_00401df0(int param_1)	331	1	__fastcall	false	false	1	8
00401f40	FUN_00401f40	undefined FUN_00401f40(int param_1)	11	1	__fastcall	false	false	1	0
00402050	FUN_00402050	undefined4 FUN_00402050(void * param_1)	143	1	__fastcall	false	false	0	4
004020e0	FUN_004020e0	undefined FUN_004020e0(void * param_1)	77	1	__fastcall	false	false	0	4
00402200	FUN_00402200	int FUN_00402200(void * this, undefined2 param_1, int param_2)	120	3	__thiscall	false	false	2	2
00402280	FUN_00402280	undefined4 FUN_00402280(void * this, int param_1)	66	2	__thiscall	false	false	1	1
004022d0	FUN_004022d0	undefined4 FUN_004022d0(int param_1)	7	1	__fastcall	false	false	1	0
004022e0	FUN_004022e0	undefined FUN_004022e0(void * this, int param_1)	18	2	__thiscall	false	false	1	0
00402300	FUN_00402300	bool FUN_00402300(void * this, undefined4 param_1, char * param_2)	113	3	__thiscall	false	false	2	1
00402380	FUN_00402380	undefined4 FUN_00402380(void * this, char * param_1)	180	2	__thiscall	false	false	1	3
00402440	FUN_00402440	undefined4 FUN_00402440(void * this, undefined4 param_1, int param_2)	98	3	__thiscall	false	false	2	2
0040282f	FUN_0040282f	undefined FUN_0040282f(void)	8	0	__stdcall	false	false	0	1
00402890	Ordinal_4933	undefined Ordinal_4933()	5	0	unknown	false	true	1	1
00402970	FUN_00402970	undefined4 * FUN_00402970(undefined4 * param_1)	1139	1	__fastcall	false	false	1	13
00403130	FUN_00403130	undefined4 * FUN_00403130(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
00403150	FUN_00403150	undefined FUN_00403150(undefined4 * param_1)	288	1	__fastcall	false	false	2	25
00403270	FUN_00403270	undefined FUN_00403270(void)	14	0	__stdcall	false	false	1	1
0040327e	FUN_0040327e	undefined FUN_0040327e(void)	14	0	__stdcall	false	false	1	1
0040328c	FUN_0040328c	undefined FUN_0040328c(void)	14	0	__stdcall	false	false	1	1
0040329a	FUN_0040329a	undefined FUN_0040329a(void)	14	0	__stdcall	false	false	1	1
004032a8	FUN_004032a8	undefined FUN_004032a8(void)	14	0	__stdcall	false	false	1	1
004032b6	FUN_004032b6	undefined FUN_004032b6(void)	14	0	__stdcall	false	false	1	1
004032c4	FUN_004032c4	undefined FUN_004032c4(void)	14	0	__stdcall	false	false	1	1
004032d2	FUN_004032d2	undefined FUN_004032d2(void)	14	0	__stdcall	false	false	1	1
004032e0	FUN_004032e0	undefined FUN_004032e0(void)	14	0	__stdcall	false	false	1	1
004032ee	FUN_004032ee	undefined FUN_004032ee(void)	14	0	__stdcall	false	false	1	1
004032fc	FUN_004032fc	undefined FUN_004032fc(void)	14	0	__stdcall	false	false	1	1
0040330a	FUN_0040330a	undefined FUN_0040330a(void)	14	0	__stdcall	false	false	1	1
00403318	FUN_00403318	undefined FUN_00403318(void)	14	0	__stdcall	false	false	1	1
00403326	FUN_00403326	undefined FUN_00403326(void)	14	0	__stdcall	false	false	1	1
00403334	FUN_00403334	undefined FUN_00403334(void)	14	0	__stdcall	false	false	1	1
00403342	FUN_00403342	undefined FUN_00403342(void)	14	0	__stdcall	false	false	1	1
00403350	FUN_00403350	undefined FUN_00403350(void)	14	0	__stdcall	false	false	1	1
0040335e	FUN_0040335e	undefined FUN_0040335e(void)	14	0	__stdcall	false	false	1	1
0040336c	FUN_0040336c	undefined FUN_0040336c(void)	14	0	__stdcall	false	false	1	1
0040337a	FUN_0040337a	undefined FUN_0040337a(void)	14	0	__stdcall	false	false	1	1
00403388	FUN_00403388	undefined FUN_00403388(void)	14	0	__stdcall	false	false	1	1
00403396	FUN_00403396	undefined FUN_00403396(void)	14	0	__stdcall	false	false	1	1
004033a4	FUN_004033a4	undefined FUN_004033a4(void)	14	0	__stdcall	false	false	1	1
004033b2	FUN_004033b2	undefined FUN_004033b2(void)	14	0	__stdcall	false	false	1	1
004033ca	FUN_004033ca	undefined FUN_004033ca(void)	8	0	__stdcall	false	false	1	1
00403490	FUN_00403490	undefined4 FUN_00403490(int param_1)	76	1	__fastcall	false	false	0	2
004034e0	FUN_004034e0	undefined FUN_004034e0(int param_1)	119	1	__fastcall	false	false	0	4
00403690	FUN_00403690	undefined4 FUN_00403690(void * this, undefined4 param_1, undefined4 param_2, undefined4 param_3)	104	4	__thiscall	false	false	1	4
00403700	FUN_00403700	bool FUN_00403700(int param_1)	162	1	__fastcall	false	false	0	5
004037b4	FUN_004037b4	undefined FUN_004037b4(void)	8	0	__stdcall	false	false	1	1
004037c0	FUN_004037c0	bool FUN_004037c0(int param_1)	149	1	__fastcall	false	false	1	5
00403867	FUN_00403867	undefined FUN_00403867(void)	8	0	__stdcall	false	false	1	1
00403870	FUN_00403870	undefined4 FUN_00403870(void)	6	0	__stdcall	false	false	0	0
00403880	FUN_00403880	undefined4 FUN_00403880(int param_1)	35	1	__fastcall	false	false	0	0
004038a3	FUN_004038a3	undefined4 FUN_004038a3(int param_1, undefined4 * param_2)	419	2	__fastcall	false	false	0	16
00403a46	FUN_00403a46	undefined FUN_00403a46(void)	8	0	__stdcall	false	false	1	1
00403a4e	FUN_00403a4e	undefined FUN_00403a4e(void)	11	0	__stdcall	false	false	1	1
00403a69	FUN_00403a69	undefined FUN_00403a69(void)	8	0	__stdcall	false	false	1	1
00403a7b	FUN_00403a7b	undefined FUN_00403a7b(void)	8	0	__stdcall	false	false	1	1
00403a90	FUN_00403a90	undefined4 FUN_00403a90(void)	546	0	__stdcall	false	false	0	14
00403caf	FUN_00403caf	undefined FUN_00403caf(void)	8	0	__stdcall	false	false	1	1
00403cb7	FUN_00403cb7	undefined FUN_00403cb7(void)	11	0	__stdcall	false	false	1	1
