caller_entry	caller_name	callee_entry	callee_name	callee_is_external
00401120	FUN_00401120	00407178	Ordinal_403	false
00401140	FUN_00401140	00407770	FUN_00407770	false
00401170	FUN_00401170	004071de	Ordinal_286	false
00401170	FUN_00401170	004071d8	Ordinal_2301	false
00401170	FUN_00401170	004071d2	Ordinal_1067	false
004011e0	FUN_004011e0	004071e4	Ordinal_731	false
004011e0	FUN_004011e0	00401200	FUN_00401200	false
00401200	FUN_00401200	00401253	FUN_00401253	false
00401200	FUN_00401200	004071ea	Ordinal_1081	false
00401253	FUN_00401253	004071cc	Ordinal_546	false
00401260	FUN_00401260	004071f6	Ordinal_1035	false
00401260	FUN_00401260	004071f0	Ordinal_4096	false
00401260	FUN_00401260	EXTERNAL:00000114	PostMessageA	true
00401980	FUN_00401980	004071e4	Ordinal_731	false
00401980	FUN_00401980	004019a0	FUN_004019a0	false
004019a0	FUN_004019a0	00401a63	FUN_00401a63	false
004019a0	FUN_004019a0	00401ab9	FUN_00401ab9	false
004019a0	FUN_004019a0	00401a4b	FUN_00401a4b	false
004019a0	FUN_004019a0	00401aab	FUN_00401aab	false
004019a0	FUN_004019a0	00401a7b	FUN_00401a7b	false
004019a0	FUN_004019a0	00401ac7	FUN_00401ac7	false
004019a0	FUN_004019a0	00401a93	FUN_00401a93	false
004019a0	FUN_004019a0	00401adc	FUN_00401adc	false
004019a0	FUN_004019a0	00401a3d	FUN_00401a3d	false
00401a3d	FUN_00401a3d	004062f0	FUN_004062f0	false
00401a4b	FUN_00401a4b	00407790	`eh_vector_destructor_iterator'	false
00401a63	FUN_00401a63	00407790	`eh_vector_destructor_iterator'	false
00401a7b	FUN_00401a7b	00407790	`eh_vector_destructor_iterator'	false
00401a93	FUN_00401a93	00407790	`eh_vector_destructor_iterator'	false
00401aab	FUN_00401aab	004062f0	FUN_004062f0	false
00401ab9	FUN_00401ab9	004062f0	FUN_004062f0	false
00401ac7	FUN_00401ac7	00403ad0	FUN_00403ad0	false
00401adc	FUN_00401adc	0040730a	Ordinal_719	false
00401b80	FUN_00401b80	004069a0	FUN_004069a0	false
00401b80	FUN_00401b80	00401f52	FUN_00401f52	false
00401b80	FUN_00401b80	EXTERNAL:0000011e	SetRect	true
00401b80	FUN_00401b80	004065c0	FUN_004065c0	false
00401b80	FUN_00401b80	EXTERNAL:00000129	RealizePalette	true
00401b80	FUN_00401b80	00406750	FUN_00406750	false
00401b80	FUN_00401b80	EXTERNAL:00000102	rand	true
00401b80	FUN_00401b80	00407322	Ordinal_5127	false
00401b80	FUN_00401b80	004055a0	FUN_004055a0	false
00401b80	FUN_00401b80	00405620	FUN_00405620	false
00401b80	FUN_00401b80	00407328	Ordinal_285	false
00401b80	FUN_00401b80	00406720	FUN_00406720	false
00401b80	FUN_00401b80	EXTERNAL:0000011f	UnionRect	true
00401b80	FUN_00401b80	00405410	FUN_00405410	false
00401b80	FUN_00401b80	00406930	FUN_00406930	false
00401f52	FUN_00401f52	0040731c	Ordinal_545	false
00401f60	FUN_00401f60	EXTERNAL:00000128	CreatePalette	true
00401f60	FUN_00401f60	EXTERNAL:00000117	GetDC	true
00401f60	FUN_00401f60	00407358	Ordinal_4819	false
00401f60	FUN_00401f60	00402175	FUN_00402175	false
00401f60	FUN_00401f60	EXTERNAL:00000127	GetSystemPaletteEntries	true
00401f60	FUN_00401f60	00407352	Ordinal_1725	false
00401f60	FUN_00401f60	0040734c	Ordinal_1426	false
00401f60	FUN_00401f60	00403ce0	FUN_00403ce0	false
00401f60	FUN_00401f60	EXTERNAL:00000126	GetDeviceCaps	true
00401f60	FUN_00401f60	00407346	Ordinal_2510	false
00401f60	FUN_00401f60	0040735e	Ordinal_5110	false
00401f60	FUN_00401f60	00407364	Ordinal_4619	false
00401f60	FUN_00401f60	EXTERNAL:0000011d	ReleaseDC	true
00401f60	FUN_00401f60	0040716c	Ordinal_729	false
00401f60	FUN_00401f60	0040736a	Ordinal_340	false
00402175	FUN_00402175	00407340	Ordinal_592	false
00402180	FUN_00402180	00407370	Ordinal_2081	false
00402710	FUN_00402710	00407376	Ordinal_3307	false
004027d0	Ordinal_1359	00407388	Ordinal_1359	false
004027e0	FUN_004027e0	00407382	Ordinal_267	false
004027e0	FUN_004027e0	004073ac	Ordinal_2199	false
004027e0	FUN_004027e0	00407358	Ordinal_4819	false
004027e0	FUN_004027e0	00407352	Ordinal_1725	false
004027e0	FUN_004027e0	00402a9a	FUN_00402a9a	false
004027e0	FUN_004027e0	00402abc	FUN_00402abc	false
004027e0	FUN_004027e0	00402710	FUN_00402710	false
004027e0	FUN_004027e0	EXTERNAL:00000103	strncpy	true
004027e0	FUN_004027e0	004073b2	Ordinal_315	false
004027e0	FUN_004027e0	004073a0	Ordinal_2891	false
004027e0	FUN_004027e0	0040739a	Ordinal_5658	false
004027e0	FUN_004027e0	00402a54	FUN_00402a54	false
004027e0	FUN_004027e0	004073a6	Ordinal_339	false
004027e0	FUN_004027e0	EXTERNAL:00000102	rand	true
004027e0	FUN_004027e0	00407364	Ordinal_4619	false
00402a54	FUN_00402a54	00407394	Ordinal_570	false
00402a9a	FUN_00402a9a	004027d0	Ordinal_1359	false
00402abc	FUN_00402abc	00407340	Ordinal_592	false
00402ad0	FUN_00402ad0	004027e0	FUN_004027e0	false
00402ad0	FUN_00402ad0	EXTERNAL:00000104	srand	true
00402ad0	FUN_00402ad0	EXTERNAL:00000102	rand	true
00402ad0	FUN_00402ad0	EXTERNAL:00000105	time	true
00402ad0	FUN_00402ad0	004031c0	FUN_004031c0	false
00402ad0	FUN_00402ad0	0040738e	Ordinal_1060	false
00402ad0	FUN_00402ad0	00402fe0	FUN_00402fe0	false
00402ad0	FUN_00402ad0	00402710	FUN_00402710	false
00402fe0	FUN_00402fe0	00404030	FUN_00404030	false
00402fe0	FUN_00402fe0	00403ef0	FUN_00403ef0	false
00402fe0	FUN_00402fe0	004030e3	FUN_004030e3	false
00402fe0	FUN_00402fe0	00404350	FUN_00404350	false
00402fe0	FUN_00402fe0	EXTERNAL:000000ff	_stricmp	true
004030e3	FUN_004030e3	00403f80	FUN_00403f80	false
004031c0	FUN_004031c0	00404030	FUN_00404030	false
004031c0	FUN_004031c0	00404410	FUN_00404410	false
004031c0	FUN_004031c0	0040323c	FUN_0040323c	false
004031c0	FUN_004031c0	00403ef0	FUN_00403ef0	false
0040323c	FUN_0040323c	00403f80	FUN_00403f80	false
00403760	FUN_00403760	EXTERNAL:00000119	InvalidateRect	true
00403760	FUN_00403760	EXTERNAL:00000129	RealizePalette	true
00403760	FUN_00403760	EXTERNAL:00000117	GetDC	true
00403760	FUN_00403760	EXTERNAL:0000011d	ReleaseDC	true
00403760	FUN_00403760	00407322	Ordinal_5127	false
00403760	FUN_00403760	00407346	Ordinal_2510	false
004037f0	FUN_004037f0	00403760	FUN_00403760	false
004037f0	FUN_004037f0	00407370	Ordinal_2081	false
004038db	FUN_004038db	00403850	FUN_00403850	false
004038f0	FUN_004038f0	00403943	FUN_00403943	false
004038f0	FUN_004038f0	004073be	Ordinal_2115	false
00403943	FUN_00403943	00403850	FUN_00403850	false
004039af	FUN_004039af	004038f0	FUN_004038f0	false
00403ab0	FUN_00403ab0	004071e4	Ordinal_731	false
00403ab0	FUN_00403ab0	00403ad0	FUN_00403ad0	false
00403ad0	FUN_00403ad0	004071e4	Ordinal_731	false
