entry	name	prototype	body_size	parameter_count	calling_convention	is_external	is_thunk	caller_count	callee_count
00401120	FUN_00401120	undefined FUN_00401120(void)	28	0	__stdcall	false	false	0	1
00401140	FUN_00401140	undefined FUN_00401140(void)	14	0	__stdcall	false	false	0	1
00401170	FUN_00401170	undefined4 * FUN_00401170(undefined4 * param_1)	87	1	__fastcall	false	false	0	3
004011e0	FUN_004011e0	undefined4 * FUN_004011e0(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
00401200	FUN_00401200	undefined FUN_00401200(undefined4 * param_1)	73	1	__fastcall	false	false	1	2
00401253	FUN_00401253	undefined FUN_00401253(void)	8	0	__stdcall	false	false	1	1
00401260	FUN_00401260	undefined FUN_00401260(void)	55	0	__stdcall	false	false	0	3
00401980	FUN_00401980	undefined4 * FUN_00401980(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
004019a0	FUN_004019a0	undefined FUN_004019a0(undefined4 * param_1)	157	1	__fastcall	false	false	1	9
00401a3d	FUN_00401a3d	undefined FUN_00401a3d(void)	14	0	__stdcall	false	false	1	1
00401a4b	FUN_00401a4b	undefined FUN_00401a4b(void)	24	0	__stdcall	false	false	1	1
00401a63	FUN_00401a63	undefined FUN_00401a63(void)	24	0	__stdcall	false	false	1	1
00401a7b	FUN_00401a7b	undefined FUN_00401a7b(void)	24	0	__stdcall	false	false	1	1
00401a93	FUN_00401a93	undefined FUN_00401a93(void)	24	0	__stdcall	false	false	1	1
00401aab	FUN_00401aab	undefined FUN_00401aab(void)	14	0	__stdcall	false	false	1	1
00401ab9	FUN_00401ab9	undefined FUN_00401ab9(void)	14	0	__stdcall	false	false	1	1
00401ac7	FUN_00401ac7	undefined FUN_00401ac7(void)	11	0	__stdcall	false	false	1	1
00401adc	FUN_00401adc	undefined FUN_00401adc(void)	8	0	__stdcall	false	false	1	1
00401b80	FUN_00401b80	undefined FUN_00401b80(int param_1)	968	1	__fastcall	false	false	0	15
00401f52	FUN_00401f52	undefined FUN_00401f52(void)	8	0	__stdcall	false	false	1	1
00401f60	FUN_00401f60	undefined FUN_00401f60(void * this, undefined4 param_1)	497	2	__thiscall	false	false	0	15
00402175	FUN_00402175	undefined FUN_00402175(void)	8	0	__stdcall	false	false	1	1
00402180	FUN_00402180	undefined FUN_00402180(void * this, undefined4 param_1, int param_2, int param_3)	70	4	__thiscall	false	false	0	1
00402710	FUN_00402710	undefined FUN_00402710(undefined4 param_1)	30	1	__stdcall	false	false	2	1
004027d0	Ordinal_1359	undefined Ordinal_1359()	5	0	unknown	false	true	1	1
004027e0	FUN_004027e0	undefined4 FUN_004027e0(void)	644	0	__stdcall	false	false	1	15
00402a54	FUN_00402a54	undefined FUN_00402a54(void)	11	0	__stdcall	false	false	1	1
00402a9a	FUN_00402a9a	undefined FUN_00402a9a(void)	8	0	__stdcall	false	false	1	1
00402abc	FUN_00402abc	undefined FUN_00402abc(void)	8	0	__stdcall	false	false	1	1
