address	length	value
00400000	2	MZ
00400080	2	PE
00400178	5	.text
004001a0	6	.rdata
004001c8	5	.data
004001f0	6	.idata
00400218	5	.rsrc
00400240	6	.reloc
0040a044	11	Communicate
0040a050	8	CToolOLE
0040a07c	12	Hatchery.OLE
0040a08c	13	CHatcheryView
0040a0b8	6	Cheese
0040a0c0	6	Darwin
0040a0c8	10	Privileges
0040a0dc	22	Millennium Interactive
0040a0f4	9	Creatures
0040a104	21	Hatchery\\lightoff.bmp
0040a11c	18	Hatchery\\scan5.bmp
0040a130	18	Hatchery\\scan4.bmp
0040a144	18	Hatchery\\scan3.bmp
0040a158	18	Hatchery\\scan2.bmp
0040a16c	18	Hatchery\\scan1.bmp
0040a180	18	Hatchery\\scan0.bmp
0040a194	17	Hatchery\\fan3.bmp
0040a1a8	17	Hatchery\\fan2.bmp
0040a1bc	17	Hatchery\\fan1.bmp
0040a1d0	17	Hatchery\\fan0.bmp
0040a1e4	19	Hatchery\\female.bmp
0040a1f8	20	Hatchery\\genspin.bmp
0040a210	17	Hatchery\\egg5.bmp
0040a224	17	Hatchery\\egg4.bmp
0040a238	17	Hatchery\\egg3.bmp
0040a24c	17	Hatchery\\egg2.bmp
0040a260	17	Hatchery\\egg1.bmp
0040a274	17	Hatchery\\egg0.bmp
0040a288	21	Hatchery\\htchmask.bmp
0040a2a0	21	Hatchery\\hatchery.bmp
0040a2b8	11	mvto %d 870
0040a2c4	10	dde: hatc,
0040a304	10	new: gene 
0040a328	13	setv attr 67,
0040a338	19	setv clas 33882624,
0040a354	27	new: simp eggs 8 %d 2000 0,
0040a384	10	sys: wtop,
0040a3a0	20	.PAVCFileException@@
0040a3c4	13	a:\\header.dat
0040a3e0	18	Genetics Directory
0040a3f8	7	Eggstra
0040a400	6	xxxxxx
0040a408	18	Creatures\\Hatchery
0040a430	16	CreateDIBSection
0040a464	16	CRegistryHandler
0040a498	9	SOFTWARE\\
0040a4a8	15	Sounds\\####.wav
0040a4b8	17	Not enough memory
0040a4cc	15	NO aggregation?
0040a4dc	17	Invalid parameter
0040a4f0	25	Wave format not supported
0040a50c	25	Resources already in use?
0040a558	10	CMainFrame
0040a580	8	Location
0040a590	32	Could not register OLE factories
0040a5b4	11	%s|%s|%s|%d
0040a5c0	12	The Hatchery
0040a5d0	16	Hatch a new norn
0040a5e4	6	Tool%d
0040a5ec	7	Blitmap
0040a61c	8	C:\\Data\\
0040a628	12	CHatcheryDoc
0040a654	36	Can not communicate with application
0040a67c	22	inst,app: quit %d,endm
0040a6b0	15	.?AVtype_info@@
005daa76	17	DirectSoundCreate
005daa88	10	DSOUND.dll
005daa94	9	MFC40.DLL
005daaa0	17	__CxxFrameHandler
005daab4	4	rand
005daabc	7	strncpy
005daac6	5	srand
005daace	4	time
005daad6	7	_mbscmp
005daade	12	MSVCRT40.dll
005daaee	11	__dllonexit
005daafc	7	_onexit
005dab06	16	_except_handler3
005dab1a	17	?terminate@@YAXXZ
005dab2e	20	??1type_info@@UAE@XZ
005dab46	5	_exit
005dab4e	11	_XcptFilter
005dab5c	4	exit
005dab64	11	__p__acmdln
005dab72	9	_initterm
005dab7e	13	__getmainargs
005dab8e	16	__setusermatherr
005daba2	12	_adjust_fdiv
005dabb2	12	__p__commode
005dabc2	10	__p__fmode
005dabd0	14	__set_app_type
005dabe2	10	_controlfp
005dabf0	9	CopyFileA
005dabfc	16	RemoveDirectoryA
005dac10	14	GetProcAddress
005dac22	16	GetModuleHandleA
005dac36	10	GetVersion
005dac44	5	Sleep
005dac4c	15	GetStartupInfoA
005dac5c	12	KERNEL32.dll
005dac6c	12	PostMessageA
005dac7c	8	SetTimer
005dac88	9	UnionRect
