entry	name	prototype	body_size	parameter_count	calling_convention	is_external	is_thunk	caller_count	callee_count
004010d0	FUN_004010d0	undefined4 * FUN_004010d0(undefined4 * param_1)	414	1	__fastcall	false	false	1	7
004012d0	FUN_004012d0	undefined4 * FUN_004012d0(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
004012f0	FUN_004012f0	undefined FUN_004012f0(undefined4 * param_1)	108	1	__fastcall	false	false	2	5
0040135c	FUN_0040135c	undefined FUN_0040135c(void)	14	0	__stdcall	false	false	1	1
0040136a	FUN_0040136a	undefined FUN_0040136a(void)	14	0	__stdcall	false	false	1	1
00401378	FUN_00401378	undefined FUN_00401378(void)	24	0	__stdcall	false	false	1	1
00401390	FUN_00401390	undefined FUN_00401390(void)	14	0	__stdcall	false	false	1	1
004013a8	FUN_004013a8	undefined FUN_004013a8(void)	8	0	__stdcall	false	false	1	1
004013d0	FUN_004013d0	undefined4 FUN_004013d0(int param_1)	115	1	__fastcall	false	false	0	3
00401590	FUN_00401590	undefined FUN_00401590(int param_1)	41	1	__fastcall	false	false	1	1
00401670	FUN_00401670	undefined4 FUN_00401670(int param_1)	31	1	__fastcall	false	false	0	0
004016b0	FUN_004016b0	undefined4 FUN_004016b0(int param_1)	249	1	__fastcall	false	false	0	4
004017b0	FUN_004017b0	undefined4 FUN_004017b0(int param_1)	463	1	__fastcall	false	false	1	16
0040197f	FUN_0040197f	undefined FUN_0040197f(void)	8	0	__stdcall	false	false	1	1
00401997	FUN_00401997	undefined FUN_00401997(void)	8	0	__stdcall	false	false	1	1
004019a9	FUN_004019a9	undefined FUN_004019a9(void)	8	0	__stdcall	false	false	1	1
004019c0	FUN_004019c0	undefined4 FUN_004019c0(int param_1)	82	1	__fastcall	false	false	0	1
00401a20	FUN_00401a20	undefined4 FUN_00401a20(int param_1)	54	1	__fastcall	false	false	1	0
00401a60	FUN_00401a60	undefined FUN_00401a60(int param_1)	31	1	__fastcall	false	false	1	0
00401a80	FUN_00401a80	undefined4 FUN_00401a80(int param_1)	11	1	__fastcall	false	false	1	1
00401a90	FUN_00401a90	undefined4 FUN_00401a90(int param_1)	23	1	__fastcall	false	false	1	0
00401ab0	FUN_00401ab0	undefined FUN_00401ab0(int param_1)	243	1	__fastcall	false	false	0	3
00401bb0	FUN_00401bb0	undefined4 FUN_00401bb0(int param_1)	128	1	__fastcall	false	false	1	3
00401c30	FUN_00401c30	undefined FUN_00401c30(int param_1)	46	1	__fastcall	false	false	1	2
00401c60	FUN_00401c60	undefined4 FUN_00401c60(int param_1)	258	1	__fastcall	false	false	0	2
00401e10	FUN_00401e10	undefined FUN_00401e10(undefined4 * param_1)	61	1	__fastcall	false	false	3	1
