caller_entry	caller_name	callee_entry	callee_name	callee_is_external
004010b0	FUN_004010b0	004010d0	FUN_004010d0	false
004010b0	FUN_004010b0	0040391c	Ordinal_731	false
004010d0	FUN_004010d0	0040116e	FUN_0040116e	false
004010d0	FUN_004010d0	0040391c	Ordinal_731	false
004010d0	FUN_004010d0	EXTERNAL:000000c2	RegCloseKey	true
0040116e	FUN_0040116e	00401550	FUN_00401550	false
00401180	FUN_00401180	00403922	Ordinal_729	false
00401180	FUN_00401180	EXTERNAL:000000c1	RegCreateKeyExA	true
00401410	FUN_00401410	EXTERNAL:000000c0	RegQueryValueExA	true
00401470	FUN_00401470	00401410	FUN_00401410	false
00401470	FUN_00401470	004014e0	FUN_004014e0	false
004014e0	FUN_004014e0	EXTERNAL:000000bf	RegSetValueExA	true
00401660	FUN_00401660	00403a36	Ordinal_509	false
00401660	FUN_00401660	00403a2a	Ordinal_2293	false
00401660	FUN_00401660	00403a30	Ordinal_486	false
00401700	FUN_00401700	00401720	FUN_00401720	false
00401700	FUN_00401700	0040391c	Ordinal_731	false
00401720	FUN_00401720	0040178a	FUN_0040178a	false
00401720	FUN_00401720	00401775	FUN_00401775	false
00401720	FUN_00401720	00403a2a	Ordinal_2293	false
00401775	FUN_00401775	00403928	Ordinal_706	false
0040178a	FUN_0040178a	00403a1e	Ordinal_701	false
004017a0	FUN_004017a0	00403a48	Ordinal_2081	false
004017a0	FUN_004017a0	00403a3c	Ordinal_5490	false
004017a0	FUN_004017a0	EXTERNAL:000000b3	GetWindowRect	true
004017a0	FUN_004017a0	00401ad0	FUN_00401ad0	false
004017a0	FUN_004017a0	EXTERNAL:000000b4	GetParent	true
004017a0	FUN_004017a0	EXTERNAL:000000b5	GetClientRect	true
004017a0	FUN_004017a0	00403a42	Ordinal_2515	false
00401990	FUN_00401990	004019c0	FUN_004019c0	false
00401990	FUN_00401990	00403a4e	Ordinal_1035	false
004019c0	FUN_004019c0	00403a5a	Ordinal_5127	false
004019c0	FUN_004019c0	00401a49	FUN_00401a49	false
004019c0	FUN_004019c0	EXTERNAL:000000bb	RealizePalette	true
004019c0	FUN_004019c0	00403a60	Ordinal_285	false
00401a49	FUN_00401a49	00403a54	Ordinal_545	false
00401a60	FUN_00401a60	00403a48	Ordinal_2081	false
00401a60	FUN_00401a60	00401e20	FUN_00401e20	false
00401ad0	FUN_00401ad0	00403922	Ordinal_729	false
00401ad0	FUN_00401ad0	00401c30	FUN_00401c30	false
00401ad0	FUN_00401ad0	00402f40	FUN_00402f40	false
00401ad0	FUN_00401ad0	00403160	FUN_00403160	false
00401ad0	FUN_00401ad0	00401be0	FUN_00401be0	false
00401be0	FUN_00401be0	00403350	FUN_00403350	false
00401be0	FUN_00401be0	EXTERNAL:000000b5	GetClientRect	true
00401c30	FUN_00401c30	00403a5a	Ordinal_5127	false
00401c30	FUN_00401c30	00403740	FUN_00403740	false
00401c30	FUN_00401c30	EXTERNAL:000000bc	DeleteObject	true
00401c30	FUN_00401c30	00403922	Ordinal_729	false
00401c30	FUN_00401c30	00403120	FUN_00403120	false
00401c30	FUN_00401c30	0040391c	Ordinal_731	false
00401c30	FUN_00401c30	00403620	FUN_00403620	false
00401c30	FUN_00401c30	EXTERNAL:000000bb	RealizePalette	true
00401c30	FUN_00401c30	EXTERNAL:000000b9	CreateDIBSection	true
00401c30	FUN_00401c30	00403a60	Ordinal_285	false
00401c30	FUN_00401c30	00401df6	FUN_00401df6	false
00401df6	FUN_00401df6	00403a54	Ordinal_545	false
00401e20	FUN_00401e20	00403a5a	Ordinal_5127	false
00401e20	FUN_00401e20	00403450	FUN_00403450	false
00401e20	FUN_00401e20	EXTERNAL:000000ba	DeleteDC	true
00401e20	FUN_00401e20	EXTERNAL:000000b6	BitBlt	true
00401e20	FUN_00401e20	00401f72	FUN_00401f72	false
00401e20	FUN_00401e20	EXTERNAL:000000b8	SelectObject	true
00401e20	FUN_00401e20	EXTERNAL:000000b7	CreateCompatibleDC	true
00401e20	FUN_00401e20	00403a60	Ordinal_285	false
00401e20	FUN_00401e20	EXTERNAL:000000b2	IntersectRect	true
00401e20	FUN_00401e20	EXTERNAL:000000b0	CopyRect	true
00401e20	FUN_00401e20	EXTERNAL:000000b5	GetClientRect	true
00401f72	FUN_00401f72	00403a54	Ordinal_545	false
0040200b	FUN_0040200b	00401550	FUN_00401550	false
00402020	FUN_00402020	00403a78	Ordinal_2115	false
00402020	FUN_00402020	00402073	FUN_00402073	false
00402073	FUN_00402073	00401550	FUN_00401550	false
004020b0	FUN_004020b0	0040391c	Ordinal_731	false
004020b0	FUN_004020b0	00403a1e	Ordinal_701	false
004020f0	FUN_004020f0	004022e0	FUN_004022e0	false
004020f0	FUN_004020f0	00403a6c	Ordinal_762	false
004020f0	FUN_004020f0	00403a36	Ordinal_509	false
004020f0	FUN_004020f0	00403aba	Ordinal_315	false
004020f0	FUN_004020f0	00401660	FUN_00401660	false
004020f0	FUN_004020f0	00403a30	Ordinal_486	false
