entry	name	prototype	body_size	parameter_count	calling_convention	is_external	is_thunk	caller_count	callee_count
00401040	FUN_00401040	undefined4 * FUN_00401040(undefined4 * param_1)	86	1	__fastcall	false	false	0	0
004010b0	FUN_004010b0	undefined4 * FUN_004010b0(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
004010d0	FUN_004010d0	undefined FUN_004010d0(undefined4 * param_1)	148	1	__fastcall	false	false	2	3
0040116e	FUN_0040116e	undefined FUN_0040116e(void)	8	0	__stdcall	false	false	1	1
00401180	FUN_00401180	undefined4 FUN_00401180(void * this, char * param_1, char * param_2, char * param_3)	652	4	__thiscall	false	false	0	2
00401410	FUN_00401410	bool FUN_00401410(void * this, int param_1, LPCSTR param_2, LPBYTE param_3, DWORD param_4)	82	5	__thiscall	false	false	1	1
00401470	FUN_00401470	undefined FUN_00401470(void * this, int param_1, LPCSTR param_2, LPBYTE param_3, DWORD param_4, BYTE * param_5)	97	6	__thiscall	false	false	0	2
004014e0	FUN_004014e0	bool FUN_004014e0(void * this, int param_1, LPCSTR param_2, BYTE * param_3)	77	4	__thiscall	false	false	1	1
00401550	FUN_00401550	undefined FUN_00401550(undefined4 * param_1)	7	1	__fastcall	false	false	6	0
00401660	FUN_00401660	undefined4 * FUN_00401660(undefined4 * param_1)	123	1	__fastcall	false	false	1	3
00401700	FUN_00401700	undefined4 * FUN_00401700(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
00401720	FUN_00401720	undefined FUN_00401720(undefined4 * param_1)	85	1	__fastcall	false	false	2	3
00401775	FUN_00401775	undefined FUN_00401775(void)	11	0	__stdcall	false	false	1	1
0040178a	FUN_0040178a	undefined FUN_0040178a(void)	8	0	__stdcall	false	false	1	1
004017a0	FUN_004017a0	undefined4 FUN_004017a0(int param_1)	377	1	__fastcall	false	false	0	7
00401990	FUN_00401990	undefined FUN_00401990(void * this, int param_1)	46	2	__thiscall	false	false	0	2
004019c0	FUN_004019c0	undefined4 FUN_004019c0(int param_1)	127	1	__fastcall	false	false	1	4
00401a49	FUN_00401a49	undefined FUN_00401a49(void)	8	0	__stdcall	false	false	1	1
00401a60	FUN_00401a60	undefined FUN_00401a60(void * param_1)	23	1	__fastcall	false	false	0	2
00401ad0	FUN_00401ad0	undefined4 FUN_00401ad0(int param_1)	247	1	__fastcall	false	false	1	5
00401be0	FUN_00401be0	bool FUN_00401be0(int param_1)	69	1	__fastcall	false	false	1	2
00401c30	FUN_00401c30	undefined4 FUN_00401c30(int param_1)	454	1	__fastcall	false	false	1	11
00401df6	FUN_00401df6	undefined FUN_00401df6(void)	8	0	__stdcall	false	false	1	1
00401e20	FUN_00401e20	undefined FUN_00401e20(void * this, RECT * param_1, int param_2, int param_3)	328	4	__thiscall	false	false	1	11
00401f72	FUN_00401f72	undefined FUN_00401f72(void)	8	0	__stdcall	false	false	1	1
0040200b	FUN_0040200b	undefined FUN_0040200b(void)	8	0	__stdcall	false	false	0	1
00402020	FUN_00402020	undefined FUN_00402020(undefined4 * param_1)	73	1	__fastcall	false	false	2	2
00402073	FUN_00402073	undefined FUN_00402073(void)	8	0	__stdcall	false	false	1	1
004020b0	FUN_004020b0	undefined4 FUN_004020b0(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
004020f0	FUN_004020f0	undefined4 * FUN_004020f0(void * this, undefined4 param_1, undefined4 param_2, undefined4 param_3)	195	4	__thiscall	false	false	0	6
00402210	FUN_00402210	undefined4 * FUN_00402210(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
00402230	FUN_00402230	undefined FUN_00402230(undefined4 * param_1)	109	1	__fastcall	false	false	1	6
0040229d	FUN_0040229d	undefined FUN_0040229d(void)	14	0	__stdcall	false	false	1	1
004022ab	FUN_004022ab	undefined FUN_004022ab(void)	11	0	__stdcall	false	false	1	1
004022b6	FUN_004022b6	undefined FUN_004022b6(void)	11	0	__stdcall	false	false	1	1
004022c1	FUN_004022c1	undefined FUN_004022c1(void)	11	0	__stdcall	false	false	1	1
004022d6	FUN_004022d6	undefined FUN_004022d6(void)	8	0	__stdcall	false	false	1	1
004022e0	FUN_004022e0	undefined FUN_004022e0(void * this, undefined4 param_1)	10	2	__thiscall	false	false	1	0
004022f0	FUN_004022f0	undefined FUN_004022f0(void)	8	0	__stdcall	false	false	2	1
00402320	FUN_00402320	undefined FUN_00402320(void)	13	0	__stdcall	false	false	0	1
00402330	FUN_00402330	undefined4 FUN_00402330(int param_1)	96	1	__fastcall	false	false	0	6
00402390	FUN_00402390	undefined FUN_00402390(void)	17	0	__stdcall	false	false	0	2
004023b0	FUN_004023b0	undefined4 FUN_004023b0(int param_1)	180	1	__fastcall	false	false	0	6
004024f0	FUN_004024f0	undefined4 * FUN_004024f0(undefined4 * param_1)	77	1	__fastcall	false	false	1	1
004025a9	FUN_004025a9	undefined FUN_004025a9(void)	8	0	__stdcall	false	false	0	1
004025d0	FUN_004025d0	undefined FUN_004025d0(void)	10	0	__stdcall	false	false	0	1
004025e0	FUN_004025e0	undefined FUN_004025e0(void)	14	0	__stdcall	false	false	0	1
0040262b	FUN_0040262b	undefined FUN_0040262b(void)	10	0	__stdcall	false	false	0	1
00402828	FUN_00402828	undefined FUN_00402828(void)	11	0	__stdcall	false	false	0	1
00402873	FUN_00402873	undefined FUN_00402873(void)	18	0	__stdcall	false	false	0	1
00402a8b	FUN_00402a8b	undefined FUN_00402a8b(void)	8	0	__stdcall	false	false	0	1
00402a9b	FUN_00402a9b	undefined FUN_00402a9b(void)	8	0	__stdcall	false	false	0	1
00402ae2	FUN_00402ae2	undefined FUN_00402ae2(void)	8	0	__stdcall	false	false	0	1
00402aea	FUN_00402aea	undefined FUN_00402aea(void)	18	0	__stdcall	false	false	0	1
00402afc	FUN_00402afc	undefined FUN_00402afc(void)	8	0	__stdcall	false	false	0	1
00402b04	FUN_00402b04	undefined FUN_00402b04(void)	8	0	__stdcall	false	false	0	1
00402b0c	FUN_00402b0c	undefined FUN_00402b0c(void)	8	0	__stdcall	false	false	0	1
00402b14	FUN_00402b14	undefined FUN_00402b14(void)	8	0	__stdcall	false	false	0	1
00402b1c	FUN_00402b1c	undefined FUN_00402b1c(void)	11	0	__stdcall	false	false	0	1
00402b31	FUN_00402b31	undefined FUN_00402b31(void)	8	0	__stdcall	false	false	0	1
00402b40	FUN_00402b40	undefined FUN_00402b40(void)	55	0	__stdcall	false	false	1	1
00402b81	FUN_00402b81	undefined FUN_00402b81(void)	8	0	__stdcall	false	false	1	1
00402b90	FUN_00402b90	undefined FUN_00402b90(int param_1)	276	1	__fastcall	false	false	0	12
00402ca4	FUN_00402ca4	undefined FUN_00402ca4(void)	8	0	__stdcall	false	false	1	1
00402cb6	FUN_00402cb6	undefined FUN_00402cb6(void)	8	0	__stdcall	false	false	1	1
00402cc0	FUN_00402cc0	undefined FUN_00402cc0(int param_1)	44	1	__fastcall	false	false	0	1
00402cf0	FUN_00402cf0	undefined FUN_00402cf0(undefined4 * param_1)	61	1	__fastcall	false	false	4	1
00402d37	FUN_00402d37	undefined FUN_00402d37(void)	8	0	__stdcall	false	false	1	1
00402d9f	FUN_00402d9f	undefined FUN_00402d9f(void)	8	0	__stdcall	false	false	0	1
00402db0	FUN_00402db0	undefined FUN_00402db0(void)	13	0	__stdcall	false	false	1	2
00402e1f	FUN_00402e1f	undefined FUN_00402e1f(void)	8	0	__stdcall	false	false	0	1
00402e30	FUN_00402e30	undefined FUN_00402e30(undefined4 * param_1)	61	1	__fastcall	false	false	1	1
00402e77	FUN_00402e77	undefined FUN_00402e77(void)	8	0	__stdcall	false	false	1	1
00402e80	Ordinal_4933	undefined Ordinal_4933()	5	0	unknown	false	true	1	0
00402f40	FUN_00402f40	undefined4 * FUN_00402f40(undefined4 * param_1)	87	1	__fastcall	false	false	1	0
00402fb0	FUN_00402fb0	undefined4 * FUN_00402fb0(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
00402fd0	FUN_00402fd0	undefined FUN_00402fd0(undefined4 * param_1)	129	1	__fastcall	false	false	1	2
0040305b	FUN_0040305b	undefined FUN_0040305b(void)	8	0	__stdcall	false	false	1	1
