caller_entry	caller_name	callee_entry	callee_name	callee_is_external
00401120	FUN_00401120	0040c758	Ordinal_731	false
00401120	FUN_00401120	00401140	FUN_00401140	false
00401140	FUN_00401140	0040c758	Ordinal_731	false
00401140	FUN_00401140	004011ae	FUN_004011ae	false
004011ae	FUN_004011ae	00401840	FUN_00401840	false
004011c0	FUN_004011c0	0040c770	Ordinal_2456	false
004011c0	FUN_004011c0	0040c758	Ordinal_731	false
004011c0	FUN_004011c0	0040c764	Ordinal_2403	false
004011c0	FUN_004011c0	0040c746	Ordinal_729	false
004011c0	FUN_004011c0	0040c76a	Ordinal_5656	false
004011c0	FUN_004011c0	0040c75e	Ordinal_4817	false
00401370	FUN_00401370	00401568	FUN_00401568	false
00401370	FUN_00401370	0040c7b8	Ordinal_336	false
00401370	FUN_00401370	0040c746	Ordinal_729	false
00401370	FUN_00401370	0040c78e	Ordinal_1725	false
00401370	FUN_00401370	0040c7be	Ordinal_340	false
00401370	FUN_00401370	0040c7ac	Ordinal_762	false
00401370	FUN_00401370	0040c758	Ordinal_731	false
00401370	FUN_00401370	00401556	FUN_00401556	false
00401370	FUN_00401370	0040c79a	Ordinal_1061	false
00401370	FUN_00401370	0040c7a6	Ordinal_4619	false
00401370	FUN_00401370	0040c794	Ordinal_4819	false
00401370	FUN_00401370	0040c7b2	Ordinal_486	false
00401370	FUN_00401370	0040c7a0	Ordinal_5003	false
00401556	FUN_00401556	004019d0	FUN_004019d0	false
00401568	FUN_00401568	0040c782	Ordinal_592	false
004016f0	FUN_004016f0	004016c0	FUN_004016c0	false
004016f0	FUN_004016f0	00402000	FUN_00402000	false
00401890	FUN_00401890	004018d7	FUN_004018d7	false
004018d7	FUN_004018d7	00401840	FUN_00401840	false
0040193f	FUN_0040193f	00401840	FUN_00401840	false
004019b2	FUN_004019b2	0040c788	Ordinal_706	false
004019c7	FUN_004019c7	00401890	FUN_00401890	false
004019d0	FUN_004019d0	00401a2f	FUN_00401a2f	false
004019d0	FUN_004019d0	00401a1a	FUN_00401a1a	false
00401a1a	FUN_00401a1a	0040c788	Ordinal_706	false
00401a2f	FUN_00401a2f	00401890	FUN_00401890	false
00401b60	FUN_00401b60	0040c758	Ordinal_731	false
00401b60	FUN_00401b60	00401b80	FUN_00401b80	false
00401b80	FUN_00401b80	0040c758	Ordinal_731	false
00401b80	FUN_00401b80	00401c0b	FUN_00401c0b	false
00401c0b	FUN_00401c0b	00401840	FUN_00401840	false
