entry	name	prototype	body_size	parameter_count	calling_convention	is_external	is_thunk	caller_count	callee_count
004010d0	FUN_004010d0	undefined4 * FUN_004010d0(undefined4 * param_1)	1137	1	__fastcall	false	false	1	4
00401880	FUN_00401880	undefined4 * FUN_00401880(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
004018a0	FUN_004018a0	undefined FUN_004018a0(undefined4 * param_1)	333	1	__fastcall	false	false	2	30
004019ed	FUN_004019ed	undefined FUN_004019ed(void)	14	0	__stdcall	false	false	1	1
004019fb	FUN_004019fb	undefined FUN_004019fb(void)	14	0	__stdcall	false	false	1	1
00401a09	FUN_00401a09	undefined FUN_00401a09(void)	14	0	__stdcall	false	false	1	1
00401a17	FUN_00401a17	undefined FUN_00401a17(void)	14	0	__stdcall	false	false	1	1
00401a25	FUN_00401a25	undefined FUN_00401a25(void)	14	0	__stdcall	false	false	1	1
00401a33	FUN_00401a33	undefined FUN_00401a33(void)	14	0	__stdcall	false	false	1	1
00401a41	FUN_00401a41	undefined FUN_00401a41(void)	14	0	__stdcall	false	false	1	1
00401a4f	FUN_00401a4f	undefined FUN_00401a4f(void)	14	0	__stdcall	false	false	1	1
00401a5d	FUN_00401a5d	undefined FUN_00401a5d(void)	14	0	__stdcall	false	false	1	1
00401a6b	FUN_00401a6b	undefined FUN_00401a6b(void)	14	0	__stdcall	false	false	1	1
00401a79	FUN_00401a79	undefined FUN_00401a79(void)	14	0	__stdcall	false	false	1	1
00401a87	FUN_00401a87	undefined FUN_00401a87(void)	14	0	__stdcall	false	false	1	1
00401a95	FUN_00401a95	undefined FUN_00401a95(void)	14	0	__stdcall	false	false	1	1
00401aa3	FUN_00401aa3	undefined FUN_00401aa3(void)	14	0	__stdcall	false	false	1	1
00401ab1	FUN_00401ab1	undefined FUN_00401ab1(void)	14	0	__stdcall	false	false	1	1
00401abf	FUN_00401abf	undefined FUN_00401abf(void)	14	0	__stdcall	false	false	1	1
00401acd	FUN_00401acd	undefined FUN_00401acd(void)	14	0	__stdcall	false	false	1	1
00401adb	FUN_00401adb	undefined FUN_00401adb(void)	14	0	__stdcall	false	false	1	1
00401ae9	FUN_00401ae9	undefined FUN_00401ae9(void)	14	0	__stdcall	false	false	1	1
00401af7	FUN_00401af7	undefined FUN_00401af7(void)	14	0	__stdcall	false	false	1	1
00401b05	FUN_00401b05	undefined FUN_00401b05(void)	14	0	__stdcall	false	false	1	1
00401b13	FUN_00401b13	undefined FUN_00401b13(void)	14	0	__stdcall	false	false	1	1
00401b21	FUN_00401b21	undefined FUN_00401b21(void)	14	0	__stdcall	false	false	1	1
00401b2f	FUN_00401b2f	undefined FUN_00401b2f(void)	14	0	__stdcall	false	false	1	1
00401b3d	FUN_00401b3d	undefined FUN_00401b3d(void)	14	0	__stdcall	false	false	1	1
00401b4b	FUN_00401b4b	undefined FUN_00401b4b(void)	14	0	__stdcall	false	false	1	1
00401b59	FUN_00401b59	undefined FUN_00401b59(void)	14	0	__stdcall	false	false	1	1
00401b67	FUN_00401b67	undefined FUN_00401b67(void)	14	0	__stdcall	false	false	1	1
00401b75	FUN_00401b75	undefined FUN_00401b75(void)	14	0	__stdcall	false	false	1	1
00401b8d	FUN_00401b8d	undefined FUN_00401b8d(void)	8	0	__stdcall	false	false	1	1
00401d90	FUN_00401d90	int FUN_00401d90(int param_1)	133	1	__fastcall	false	false	0	4
00401ea0	FUN_00401ea0	undefined4 FUN_00401ea0(int param_1)	139	1	__fastcall	false	false	0	8
00401fe0	FUN_00401fe0	undefined4 FUN_00401fe0(int param_1)	31	1	__fastcall	false	false	1	0
00402020	FUN_00402020	bool FUN_00402020(int param_1)	58	1	__fastcall	false	false	1	3
00402060	FUN_00402060	undefined4 FUN_00402060(void)	6	0	__stdcall	false	false	1	0
