address	length	value
00400000	2	MZ
00400080	2	PE
00400178	5	.text
004001a0	6	.rdata
004001c8	5	.data
004001f0	6	.idata
00400218	5	.rsrc
00400240	6	.reloc
00415060	13	CDecisionPage
00415088	25	Can not create data file.
004150b4	12	addv var0 1,
004150c4	19	dde: cell 6 var0 0,
004150d9	7	eps 16,
004150e4	12	setv var0 0,
004150f4	18	dde: putv chem 55,
00415108	18	dde: putv chem 54,
0041511c	15	dde: putv _it_,
0041512c	5	inst,
0041514c	13	CScienceSheet
00415178	11	Science.bmp
00415184	22	Millennium Interactive
0041519c	21	Creatures\\Science Kit
004151b8	7	CSprite
004151d8	19	Failed to read file
004151ec	28	256 colour bit map required.
0041520c	20	Failed to read file.
00415224	20	Failed to open file.
0041523c	10	CCoverPage
00415264	14	Please wait...
00415274	32	Could not register OLE factories
00415298	11	%s|%s|%s|%d
004152a4	11	Science.OLE
004152b0	11	Science Kit
004152bc	19	Advanced monitoring
004152d0	6	Tool%d
004152d8	9	Creatures
004152e4	13	MS Sans Serif
004152f4	16	CRegistryHandler
00415328	9	SOFTWARE\\
00415338	15	Sounds\\####.wav
00415348	17	Not enough memory
0041535c	15	NO aggregation?
0041536c	17	Invalid parameter
00415380	25	Wave format not supported
0041539c	25	Resources already in use?
004153e8	11	CInjectPage
00415410	8	Dose.bmp
0041541c	8	Chemical
00415428	23	Can not open data file.
00415440	14	injections.str
00415450	6	Cheese
00415458	10	dosage.spr
00415464	11	chem %d %d,
00415470	11	sdosage.spr
0041547c	11	pdosage.spr
00415488	11	cdosage.spr
00415494	11	bdosage.spr
004154a0	11	odosage.spr
004154ac	11	ydosage.spr
004154b8	10	CPropSheet
004154e8	6	On Top
004154f0	8	Location
004154fc	22	inst,app: quit %d,endm
0041551c	19	There is no subject
00415530	14	dde: putv ownr
00415540	14	dde: getb cnam
00415554	10	Privileges
00415568	36	Can not communicate with application
00415590	12	CScannerPage
004155b8	11	Scanner.bmp
004155c4	13	setv var0 %d,
004155d4	15	CChromosonePage
00415604	12	Pigmentation
00415614	9	Instincts
00415630	10	Appearance
0041563c	6	Unused
00415644	20	Chemical Definitions
0041565c	18	Chemical Reactions
00415670	17	Chemical Emitters
00415684	18	Chemical Receptors
00415698	11	Brain Lobes
004156a4	7	%d - %d
004156ac	14	dde: gene,endm
004156bc	6	Female
004156cc	14	dde: putv gend
004156dc	18	Genetics Directory
004156f0	14	dde: getb monk
00415700	11	palette.dta
0041570c	17	Palette Directory
00415720	8	Gene.spr
0041572c	13	CPhasedSprite
0041575c	11	Communicate
00415768	8	CToolOLE
00415794	12	CMonitorPage
004157c0	16	allchemicals.str
004157d8	11	Waste Water
004157e4	13	chemicals.str
004157f4	10	themes.str
0041580c	18	dde: putv chem %d,
0041582c	7	CDIBPal
00415870	10	CDIBStatic
00416af6	17	DirectSoundCreate
00416b08	10	DSOUND.dll
00416b14	9	MFC40.DLL
00416b20	17	__CxxFrameHandler
00416b34	7	_mbscmp
00416b3e	6	sscanf
00416b48	11	__p__pctype
00416b56	8	_isctype
00416b62	16	__p___mb_cur_max
00416b74	12	MSVCRT40.dll
00416b84	11	__dllonexit
00416b92	7	_onexit
00416b9c	16	_except_handler3
00416bb0	17	?terminate@@YAXXZ
00416bc4	5	_exit
00416bcc	11	_XcptFilter
00416bda	4	exit
00416be2	11	__p__acmdln
00416bf0	9	_initterm
00416bfc	13	__getmainargs
00416c0c	16	__setusermatherr
00416c20	12	_adjust_fdiv
00416c30	12	__p__commode
00416c40	10	__p__fmode
00416c4e	14	__set_app_type
00416c60	10	_controlfp
00416c6e	5	Sleep
00416c76	10	GetVersion
00416c84	16	GetModuleHandleA
00416c98	15	GetStartupInfoA
