caller_entry	caller_name	callee_entry	callee_name	callee_is_external
00401120	FUN_00401120	00401140	FUN_00401140	false
00401120	FUN_00401120	004090d0	Ordinal_731	false
00401140	FUN_00401140	004011ae	FUN_004011ae	false
00401140	FUN_00401140	004090d0	Ordinal_731	false
004011ae	FUN_004011ae	00401440	FUN_00401440	false
004011c0	FUN_004011c0	004090e2	Ordinal_5656	false
004011c0	FUN_004011c0	004090dc	Ordinal_2403	false
004011c0	FUN_004011c0	004090e8	Ordinal_2456	false
004011c0	FUN_004011c0	004090d6	Ordinal_4817	false
004011c0	FUN_004011c0	004090d0	Ordinal_731	false
004011c0	FUN_004011c0	004090be	Ordinal_729	false
004012f0	FUN_004012f0	004012c0	FUN_004012c0	false
004012f0	FUN_004012f0	00406300	FUN_00406300	false
00401490	FUN_00401490	004014d7	FUN_004014d7	false
004014d7	FUN_004014d7	00401440	FUN_00401440	false
0040153f	FUN_0040153f	00401440	FUN_00401440	false
004015b2	FUN_004015b2	00409100	Ordinal_706	false
004015c7	FUN_004015c7	00401490	FUN_00401490	false
004015d0	FUN_004015d0	0040162f	FUN_0040162f	false
004015d0	FUN_004015d0	0040161a	FUN_0040161a	false
0040161a	FUN_0040161a	00409100	Ordinal_706	false
0040162f	FUN_0040162f	00401490	FUN_00401490	false
00401780	FUN_00401780	004017a0	FUN_004017a0	false
00401780	FUN_00401780	004090d0	Ordinal_731	false
004017a0	FUN_004017a0	00409160	Ordinal_2115	false
004017a0	FUN_004017a0	004017fd	FUN_004017fd	false
004017fd	FUN_004017fd	00401a70	FUN_00401a70	false
00401810	FUN_00401810	00409166	Ordinal_1426	false
00401810	FUN_00401810	EXTERNAL:000000f3	CreatePalette	true
00401810	FUN_00401810	004090be	Ordinal_729	false
00401810	FUN_00401810	004090d0	Ordinal_731	false
0040198b	FUN_0040198b	00401440	FUN_00401440	false
004019a0	FUN_004019a0	004019f3	FUN_004019f3	false
004019a0	FUN_004019a0	00409160	Ordinal_2115	false
004019f3	FUN_004019f3	00401440	FUN_00401440	false
00401a5f	FUN_00401a5f	004019a0	FUN_004019a0	false
00401a70	FUN_00401a70	00401ab7	FUN_00401ab7	false
00401ab7	FUN_00401ab7	004019a0	FUN_004019a0	false
00401b30	FUN_00401b30	00401bf0	FUN_00401bf0	false
00401b30	FUN_00401b30	004090d0	Ordinal_731	false
00401b50	FUN_00401b50	00402a90	FUN_00402a90	false
00401b50	FUN_00401b50	00406500	FUN_00406500	false
00401b50	FUN_00401b50	00401c60	FUN_00401c60	false
