entry	name	prototype	body_size	parameter_count	calling_convention	is_external	is_thunk	caller_count	callee_count
004010b0	FUN_004010b0	undefined4 * FUN_004010b0(undefined4 * param_1)	84	1	__fastcall	false	false	1	0
00401120	FUN_00401120	undefined4 * FUN_00401120(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
00401140	FUN_00401140	undefined FUN_00401140(undefined4 * param_1)	100	1	__fastcall	false	false	1	2
004011ae	FUN_004011ae	undefined FUN_004011ae(void)	8	0	__stdcall	false	false	1	1
004011c0	FUN_004011c0	undefined FUN_004011c0(void * this, int param_1, int param_2)	251	3	__thiscall	false	false	1	6
004012c0	FUN_004012c0	int FUN_004012c0(void * this, int param_1, int param_2)	43	3	__thiscall	false	false	1	0
004012f0	FUN_004012f0	undefined FUN_004012f0(void * this, void * param_1, int param_2, int * param_3, int * param_4)	297	5	__thiscall	false	false	1	2
00401440	FUN_00401440	undefined FUN_00401440(undefined4 * param_1)	7	1	__fastcall	false	false	11	0
00401490	FUN_00401490	undefined FUN_00401490(undefined4 * param_1)	61	1	__fastcall	false	false	3	1
004014d7	FUN_004014d7	undefined FUN_004014d7(void)	8	0	__stdcall	false	false	1	1
0040153f	FUN_0040153f	undefined FUN_0040153f(void)	8	0	__stdcall	false	false	0	1
004015b2	FUN_004015b2	undefined FUN_004015b2(void)	11	0	__stdcall	false	false	0	1
004015c7	FUN_004015c7	undefined FUN_004015c7(void)	8	0	__stdcall	false	false	0	1
004015d0	FUN_004015d0	undefined FUN_004015d0(undefined4 * param_1)	74	1	__fastcall	false	false	4	2
0040161a	FUN_0040161a	undefined FUN_0040161a(void)	11	0	__stdcall	false	false	1	1
0040162f	FUN_0040162f	undefined FUN_0040162f(void)	8	0	__stdcall	false	false	1	1
004016f0	FUN_004016f0	undefined4 * FUN_004016f0(undefined4 * param_1)	104	1	__fastcall	false	false	1	0
00401780	FUN_00401780	undefined4 * FUN_00401780(void * this, byte param_1)	30	2	__thiscall	false	false	0	2
004017a0	FUN_004017a0	undefined FUN_004017a0(undefined4 * param_1)	83	1	__fastcall	false	false	1	2
004017fd	FUN_004017fd	undefined FUN_004017fd(void)	8	0	__stdcall	false	false	1	1
00401810	FUN_00401810	undefined4 FUN_00401810(void * this, int param_1)	268	2	__thiscall	false	false	1	4
0040198b	FUN_0040198b	undefined FUN_0040198b(void)	8	0	__stdcall	false	false	0	1
004019a0	FUN_004019a0	undefined FUN_004019a0(undefined4 * param_1)	73	1	__fastcall	false	false	4	2
