caller_entry	caller_name	callee_entry	callee_name	callee_is_external
00401000	FUN_00401000	00401dc2	Ordinal_1035	false
00401000	FUN_00401000	00401dbc	Ordinal_1014	false
00401000	FUN_00401000	00401dc8	Ordinal_315	false
00401000	FUN_00401000	EXTERNAL:00000077	LoadIconA	true
004010e9	FUN_004010e9	00401db6	Ordinal_570	false
00401130	FUN_00401130	00401dd4	Ordinal_4173	false
00401130	FUN_00401130	EXTERNAL:00000079	SendMessageA	true
00401799	FUN_00401799	00401dec	Ordinal_706	false
004017a1	FUN_004017a1	00401dec	Ordinal_706	false
004017a9	FUN_004017a9	00401dec	Ordinal_706	false
004017b1	FUN_004017b1	00401dec	Ordinal_706	false
004017c3	FUN_004017c3	00401dec	Ordinal_706	false
004017e0	FUN_004017e0	EXTERNAL:00000080	RegOpenKeyExA	true
004017e0	FUN_004017e0	EXTERNAL:00000081	RegQueryValueExA	true
004017e0	FUN_004017e0	EXTERNAL:0000007c	RegCloseKey	true
004017e0	FUN_004017e0	00401e16	Ordinal_762	false
00401890	FUN_00401890	EXTERNAL:0000006f	FindFirstFileA	true
00401890	FUN_00401890	00401e0a	Ordinal_836	false
00401890	FUN_00401890	00401e22	Ordinal_267	false
00401890	FUN_00401890	EXTERNAL:0000006e	FindClose	true
00401890	FUN_00401890	00401e1c	Ordinal_4940	false
00401890	FUN_00401890	00401e28	Ordinal_483	false
00401890	FUN_00401890	0040198b	FUN_0040198b	false
00401890	FUN_00401890	EXTERNAL:00000074	FindNextFileA	true
00401890	FUN_00401890	00401993	FUN_00401993	false
00401890	FUN_00401890	004019a5	FUN_004019a5	false
0040198b	FUN_0040198b	004019b0	Ordinal_1359	false
00401993	FUN_00401993	00401dec	Ordinal_706	false
004019a5	FUN_004019a5	00401dec	Ordinal_706	false
00401a30	FUN_00401a30	00401ebe	Ordinal_504	false
00401ae9	FUN_00401ae9	00401eb8	Ordinal_721	false
00401b10	FUN_00401b10	00401a30	FUN_00401a30	false
00401b20	FUN_00401b20	00401f90	FUN_00401f90	false
00401b6b	FUN_00401b6b	00401eb8	Ordinal_721	false
00401c46	FUN_00401c46	00401dec	Ordinal_706	false
00401c4e	FUN_00401c4e	00401dec	Ordinal_706	false
00401c60	FUN_00401c60	00401cb1	FUN_00401cb1	false
00401cb1	FUN_00401cb1	00401db6	Ordinal_570	false
00401ef0	FUN_00401ef0	EXTERNAL:00000071	GetVersion	true
00401ef0	FUN_00401ef0	EXTERNAL:00000070	Sleep	true
00401ef0	FUN_00401ef0	00402158	__dllonexit	false
00401ef0	FUN_00401ef0	EXTERNAL:0000006b	_onexit	true
00401f90	FUN_00401f90	00401ef0	FUN_00401ef0	false
00401fb0	entry	EXTERNAL:0000005f	__p__fmode	true
00401fb0	entry	EXTERNAL:00000065	__p__acmdln	true
00401fb0	entry	004021a0	FUN_004021a0	false
00401fb0	entry	00402164	initterm	false
00401fb0	entry	EXTERNAL:00000066	exit	true
00401fb0	entry	EXTERNAL:0000005e	__set_app_type	true
00401fb0	entry	EXTERNAL:00000072	GetModuleHandleA	true
00401fb0	entry	EXTERNAL:00000060	__p__commode	true
00401fb0	entry	EXTERNAL:00000073	GetStartupInfoA	true
00401fb0	entry	EXTERNAL:00000063	__getmainargs	true
00401fb0	entry	00402170	__setdefaultprecision	false
00401fb0	entry	004021ae	_WinMain@16	false
00401fb0	entry	EXTERNAL:00000062	__setusermatherr	true
00402170	__setdefaultprecision	004021a8	_controlfp	false
004021ae	_WinMain@16	00402216	Ordinal_1368	false
004021c7	FUN_004021c7	EXTERNAL:0000005c	_setmbcp	true
004021c7	FUN_004021c7	00401dc2	Ordinal_1035	false
