address	length	value
00400000	2	MZ
00400080	2	PE
00400178	5	.text
004001a0	6	.rdata
004001c8	5	.data
004001f0	6	.idata
00400218	5	.rsrc
00400240	6	.reloc
00404020	31	SOFTWARE\\Millennium Interactive
00404040	41	SOFTWARE\\Millennium Interactive\\Creatures
0040406c	35	Software\\Classes\\Creatures.Document
00404090	18	Creatures.Document
004040a4	34	Software\\Classes\\Hatchery.Document
004040c8	17	Hatchery.Document
004040dc	21	Software\\Classes\\.SFC
004040fc	61	Software\\Classes\\CLSID\\{77C733E1-6797-11CF-BBF2-0020AF71E433}
0040413c	44	CLSID\\{77C733E1-6797-11CF-BBF2-0020AF71E433}
0040416c	61	Software\\Classes\\CLSID\\{B4A467E1-AF33-11CF-BBF2-0020AF71E433}
004041ac	44	CLSID\\{B4A467E1-AF33-11CF-BBF2-0020AF71E433}
004041dc	61	Software\\Classes\\CLSID\\{3DC4BDA1-B95B-11CF-BBF2-0020AF71E433}
0040421c	44	CLSID\\{3DC4BDA1-B95B-11CF-BBF2-0020AF71E433}
0040424c	61	Software\\Classes\\CLSID\\{D7885C00-9F7D-11CF-BBF2-0020AF71E433}
0040428c	44	CLSID\\{D7885C00-9F7D-11CF-BBF2-0020AF71E433}
004042bc	61	Software\\Classes\\CLSID\\{4388EF01-A35C-11CF-BBF2-0020AF71E433}
004042fc	44	CLSID\\{4388EF01-A35C-11CF-BBF2-0020AF71E433}
0040432c	61	Software\\Classes\\CLSID\\{7CCFFEC1-A43D-11CF-BBF2-0020AF71E433}
0040436c	44	CLSID\\{7CCFFEC1-A43D-11CF-BBF2-0020AF71E433}
0040439c	61	Software\\Classes\\CLSID\\{BE01C580-66B3-11CF-8756-0020AF4B3441}
004043dc	44	CLSID\\{BE01C580-66B3-11CF-8756-0020AF4B3441}
0040440c	61	Software\\Classes\\CLSID\\{F10D5CA1-A8B7-11CF-BBF2-0020AF71E433}
0040444c	44	CLSID\\{F10D5CA1-A8B7-11CF-BBF2-0020AF71E433}
0040447c	61	Software\\Classes\\CLSID\\{D3BCF121-A4D8-11CF-BBF2-0020AF71E433}
004044bc	44	CLSID\\{D3BCF121-A4D8-11CF-BBF2-0020AF71E433}
004044ec	61	Software\\Classes\\CLSID\\{380459A0-3587-11CF-94B8-444553540000}
0040452c	44	CLSID\\{380459A0-3587-11CF-94B8-444553540000}
0040455c	24	Software\\Classes\\SFC.ole
00404578	24	Software\\Classes\\Sex.ole
00404594	26	Software\\Classes\\Score.ole
004045b0	28	Software\\Classes\\Science.ole
004045d0	26	Software\\Classes\\Owner.OLE
004045ec	27	Software\\Classes\\Health.ole
00404608	29	Software\\Classes\\Hatchery.ole
00404628	28	Software\\Classes\\Funeral.ole
00404648	7	SFC.ole
00404650	7	Sex.ole
00404658	9	Score.ole
00404664	11	Science.ole
00404670	9	Owner.OLE
0040467c	10	Health.ole
00404688	12	Hatchery.ole
00404698	11	Funeral.ole
004046a4	7	TempBU\\
004046ac	5	*.sfc
004046b4	7	Backup\\
004046bc	13	*.photo album
004046cc	13	chemicals.str
004046dc	13	creatures.fts
004046ec	13	creatures.gid
004046fc	14	Main Directory
0040470c	5	*.spr
00404714	15	Image Directory
00404724	5	*.gno
0040472c	5	*.gen
00404734	18	Genetics Directory
00404748	15	UninstallString
00404758	70	SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\CreaturesDeinstKey
004047a4	13	UninstallData
004047b4	11	Uninstaller
004047c0	45	SOFTWARE\\Millennium Interactive\\Creatures\\1.0
00404800	20	.PAVCFileException@@
00404828	15	.?AVtype_info@@
004054cc	9	MFC40.DLL
004054d8	17	__CxxFrameHandler
004054ea	12	MSVCRT40.dll
004054fa	20	??1type_info@@UAE@XZ
00405512	11	__dllonexit
00405520	7	_onexit
0040552a	5	_exit
00405532	11	_XcptFilter
00405540	4	exit
00405548	11	__p__acmdln
00405556	9	_initterm
00405562	13	__getmainargs
00405572	16	__setusermatherr
00405586	12	_adjust_fdiv
00405596	12	__p__commode
004055a6	10	__p__fmode
004055b4	14	__set_app_type
004055c6	16	_except_handler3
004055da	10	_controlfp
004055e8	9	FindClose
004055f4	13	FindNextFileA
00405604	14	FindFirstFileA
00405616	5	Sleep
0040561e	10	GetVersion
0040562c	16	GetModuleHandleA
00405640	15	GetStartupInfoA
00405650	12	KERNEL32.dll
00405660	9	LoadIconA
0040566c	12	SendMessageA
0040567c	8	DrawIcon
00405688	13	GetClientRect
00405698	16	GetSystemMetrics
004056ac	8	IsIconic
004056b8	12	EnableWindow
004056c6	10	USER32.dll
004056d4	11	RegCloseKey
004056e2	16	RegQueryInfoKeyA
004056f6	13	RegDeleteKeyA
00405706	14	RegSetValueExA
00405718	13	RegOpenKeyExA
00405728	16	RegQueryValueExA
0040573a	12	ADVAPI32.dll
0040574a	13	ShellExecuteA
00405758	11	SHELL32.dll
00405766	8	_setmbcp
004066aa	15	VS_VERSION_INFO
00406706	14	StringFileInfo
0040672a	8	040904B0
00406742	11	CompanyName
00406762	15	FileDescription
00406784	22	REMOVE MFC Application
004067ba	11	FileVersion
004067d4	10	1, 0, 0, 1
004067f2	12	InternalName
0040680c	6	REMOVE
00406822	14	LegalCopyright
00406840	16	Copyright © 1996
0040686a	15	LegalTrademarks
00406892	16	OriginalFilename
004068b4	10	REMOVE.EXE
004068d2	11	ProductName
004068ec	18	REMOVE Application
0040691a	14	ProductVersion
00406938	10	1, 0, 0, 1
00406956	11	VarFileInfo
00406976	11	Translation
